ID compra,ID cliente,Programa de cashback,Edad,Sexo biológico,Evaluación de la compra
6,6149,Sí,30,Masculino,10
5,9491,Sí,36,Masculino,9
9,5288,No,39,Femenino,9
4,9679,Sí,35,Masculino,10
8,1380,No,50,Masculino,9
2,2771,No,45,Masculino,10
3,1960,No,35,Femenino,10
1,5146,No,43,Femenino,9
7,3106,No,35,Masculino,10
11,8765,Sí,32,Femenino,10
19,9528,Sí,32,Masculino,9
13,9030,No,46,Femenino,10
12,5203,Sí,26,Femenino,10
14,2781,Sí,35,Masculino,9
17,9813,Sí,18,Masculino,9
16,1012,No,40,Femenino,10
18,6492,No,18,Masculino,9
10,1055,Sí,23,Femenino,10
15,9682,No,48,Masculino,10
20,4825,No,43,Masculino,10
26,1632,Sí,18,Femenino,9
27,1049,No,56,Femenino,9
22,2291,No,51,Femenino,9
29,2134,Sí,39,Masculino,9
28,1955,No,51,Masculino,10
25,2411,No,45,Masculino,9
21,6284,No,40,Femenino,9
24,9153,No,34,Masculino,10
23,6192,No,36,Masculino,7
30,2269,No,43,Masculino,1
36,4977,Sí,33,Femenino,10
31,5768,Sí,35,Masculino,10
34,8471,Sí,35,Masculino,10
32,3966,Sí,34,Femenino,9
35,9430,Sí,18,Masculino,10
39,8319,Sí,39,Femenino,9
38,9012,No,45,Femenino,9
33,4240,Sí,32,Femenino,10
37,7956,No,28,Masculino,9
42,1777,No,46,Masculino,9
47,7178,No,43,Femenino,10
46,7791,No,51,Femenino,10
40,2407,No,46,Femenino,9
49,1327,No,43,Masculino,10
50,2865,No,50,Masculino,8
45,9202,No,47,Femenino,9
41,8968,Sí,39,Femenino,10
48,7021,No,32,Masculino,8
43,6087,No,32,Masculino,9
44,8747,Sí,22,Femenino,1
52,2812,No,50,Femenino,9
51,4402,Sí,28,Femenino,9
53,8056,No,44,Masculino,9
57,3701,Sí,37,Masculino,10
58,3381,Sí,39,Femenino,10
55,2648,Sí,37,Masculino,9
54,9390,No,47,Femenino,10
56,6666,Sí,32,Femenino,9
64,6664,No,35,Femenino,2
66,6696,No,49,Masculino,10
62,2147,No,48,Masculino,9
67,6754,Sí,40,Masculino,9
59,6202,No,51,Femenino,10
65,6081,No,46,Femenino,9
60,2699,No,33,Femenino,8
69,4849,No,41,Femenino,10
63,8537,Sí,22,Masculino,9
70,4462,Sí,39,Femenino,10
61,4061,No,41,Masculino,9
68,1708,Sí,33,Masculino,10
76,9088,No,27,Femenino,3
77,9494,No,38,Femenino,10
78,6970,Sí,38,Masculino,2
74,9552,No,47,Masculino,10
79,2768,Sí,32,Masculino,10
