ID compra,Unidad,Ciudad,Fecha,Horario,Categoría del producto,Precio unitario,Cantidad,Método de pago
6,Parque de las Naciones,El Carmen,1/3/2022,15:40,Electrónicos,"4457,9",4,Dinero
5,Estrella,San Antonio,1/3/2022,16:48,Herramientas y construcción,"115,9",1,PIX
9,Aurora,Santa Rosa,1/3/2022,12:08,Belleza y cuidado personal,"68,9",2,Tarjeta
4,Estrella,San Antonio,1/3/2022,9:29,Herramientas y construcción,"80,9",5,PIX
8,Parque de las Naciones,El Carmen,1/3/2022,13:02,Belleza y cuidado personal,165,4,PIX
2,Estrella,San Antonio,1/3/2022,13:42,Electrónicos,"5747,9",5,PIX
3,Estrella,San Antonio,1/3/2022,18:47,Alimentos y bebidas,"84,9",5,Tarjeta
1,Estrella,San Antonio,1/3/2022,19:13,Electrónicos,"3465,9",1,PIX
7,Parque de las Naciones,El Carmen,1/3/2022,12:40,Libros,"75,9",5,Tarjeta
11,Aurora,Santa Rosa,1/4/2022,16:50,Casa y limpieza,"13,9",5,PIX
19,Estrella,San Antonio,1/4/2022,15:19,Electrónicos,"4196,9",4,PIX
13,Parque de las Naciones,El Carmen,1/4/2022,18:25,Belleza y cuidado personal,"84,9",3,Tarjeta
12,Aurora,Santa Rosa,1/4/2022,13:44,Casa y limpieza,"40,9",3,PayPal
14,Parque de las Naciones,El Carmen,1/4/2022,13:22,Casa y limpieza,"93,9",3,PIX
17,Aurora,Santa Rosa,1/4/2022,13:29,Belleza y cuidado personal,"188,9",3,Tarjeta
16,Estrella,San Antonio,1/4/2022,19:04,Libros,"43,9",2,Tarjeta
18,Parque de las Naciones,El Carmen,1/4/2022,19:09,Alimentos y bebidas,61,5,Tarjeta
10,Estrella,San Antonio,1/4/2022,16:41,Casa y limpieza,"106,9",4,PayPal
15,Parque de las Naciones,El Carmen,1/4/2022,14:42,Alimentos y bebidas,"85,9",4,Tarjeta
20,Aurora,Santa Rosa,1/4/2022,15:09,Casa y limpieza,"195,9",1,Tarjeta
26,Parque de las Naciones,El Carmen,1/5/2022,12:24,Alimentos y bebidas,"68,9",5,PayPal
27,Parque de las Naciones,El Carmen,1/5/2022,17:37,Belleza y cuidado personal,"67,9",5,Dinero
22,Estrella,San Antonio,1/5/2022,13:40,Casa y limpieza,"122,9",1,Tarjeta
29,Estrella,San Antonio,1/5/2022,18:59,Casa y limpieza,173,3,Tarjeta
28,Aurora,Santa Rosa,1/5/2022,9:10,Alimentos y bebidas,"56,9",5,Tarjeta
25,Estrella,San Antonio,1/5/2022,12:42,Casa y limpieza,"24,9",4,Tarjeta
21,Parque de las Naciones,El Carmen,1/5/2022,19:58,Herramientas y construcción,"143,9",3,Tarjeta
24,Estrella,San Antonio,1/5/2022,12:12,Casa y limpieza,"5,9",1,Tarjeta
23,Parque de las Naciones,El Carmen,1/5/2022,18:49,Electrónicos,"6943,9",4,PIX
30,Aurora,Santa Rosa,1/5/2022,16:29,Libros,"21,9",1,PIX
36,Aurora,Santa Rosa,1/6/2022,12:49,Electrónicos,"740,9",4,Tarjeta
31,Estrella,San Antonio,1/6/2022,11:47,Belleza y cuidado personal,"67,9",1,PIX
34,Parque de las Naciones,El Carmen,1/6/2022,18:48,Alimentos y bebidas,"62,9",3,Tarjeta
32,Aurora,Santa Rosa,1/6/2022,18:31,Alimentos y bebidas,"13,9",4,PIX
35,Estrella,San Antonio,1/6/2022,16:40,Alimentos y bebidas,"41,9",3,PayPal
39,Aurora,Santa Rosa,1/6/2022,10:21,Libros,"48,9",1,PIX
38,Parque de las Naciones,El Carmen,1/6/2022,18:36,Alimentos y bebidas,"62,9",2,PIX
33,Parque de las Naciones,El Carmen,1/6/2022,13:12,Casa y limpieza,"164,9",3,Tarjeta
37,Aurora,Santa Rosa,1/6/2022,19:31,Electrónicos,1754,3,Tarjeta
42,Aurora,Santa Rosa,1/7/2022,11:22,Belleza y cuidado personal,"174,9",3,PIX
47,Parque de las Naciones,El Carmen,1/7/2022,18:46,Alimentos y bebidas,"47,9",1,PIX
46,Estrella,San Antonio,1/7/2022,16:27,Herramientas y construcción,135,2,Tarjeta
40,Estrella,San Antonio,1/7/2022,12:11,Papelería y oficina,7,2,PIX
49,Estrella,San Antonio,1/7/2022,16:17,Herramientas y construcción,"299,9",3,Tarjeta
50,Estrella,San Antonio,1/7/2022,15:28,Alimentos y bebidas,"45,9",3,PIX
45,Estrella,San Antonio,1/7/2022,15:10,Herramientas y construcción,"264,9",5,Tarjeta
41,Aurora,Santa Rosa,1/7/2022,13:47,Belleza y cuidado personal,"191,9",4,PIX
48,Parque de las Naciones,El Carmen,1/7/2022,11:53,Alimentos y bebidas,"31,9",1,Tarjeta
43,Aurora,Santa Rosa,1/7/2022,17:29,Alimentos y bebidas,"95,9",3,PIX
44,Parque de las Naciones,El Carmen,1/7/2022,18:08,Belleza y cuidado personal,"131,9",5,PayPal
52,Estrella,San Antonio,1/8/2022,10:59,Electrónicos,"6130,9",3,Tarjeta
51,Aurora,Santa Rosa,1/8/2022,17:54,Papelería y oficina,9,5,Tarjeta
53,Estrella,San Antonio,1/8/2022,19:08,Papelería y oficina,"48,9",2,PIX
57,Aurora,Santa Rosa,1/8/2022,12:25,Alimentos y bebidas,"58,9",5,PIX
58,Estrella,San Antonio,1/8/2022,16:29,Alimentos y bebidas,"45,9",5,PIX
55,Aurora,Santa Rosa,1/8/2022,19:07,Electrónicos,"238,9",1,PIX
54,Estrella,San Antonio,1/8/2022,18:32,Belleza y cuidado personal,220,5,Tarjeta
56,Parque de las Naciones,El Carmen,1/8/2022,13:50,Electrónicos,"6256,9",1,PIX
64,Aurora,Santa Rosa,1/10/2022,18:26,Alimentos y bebidas,"68,9",1,PIX
66,Aurora,Santa Rosa,1/10/2022,18:21,Belleza y cuidado personal,"155,9",1,PIX
62,Estrella,San Antonio,1/10/2022,15:10,Belleza y cuidado personal,"203,9",3,PIX
67,Parque de las Naciones,El Carmen,1/10/2022,15:31,Papelería y oficina,"6,9",3,Tarjeta
59,Parque de las Naciones,El Carmen,1/10/2022,11:18,Alimentos y bebidas,"99,9",4,PIX
65,Estrella,San Antonio,1/10/2022,15:42,Alimentos y bebidas,"27,9",4,PIX
60,Parque de las Naciones,El Carmen,1/10/2022,13:15,Papelería y oficina,"13,9",1,PIX
69,Aurora,Santa Rosa,1/10/2022,13:29,Casa y limpieza,"73,9",5,PIX
63,Estrella,San Antonio,1/10/2022,15:02,Belleza y cuidado personal,"124,9",1,PayPal
70,Parque de las Naciones,El Carmen,1/10/2022,18:11,Casa y limpieza,"168,9",2,Tarjeta
61,Aurora,Santa Rosa,1/10/2022,12:30,Belleza y cuidado personal,"103,9",3,Tarjeta
68,Parque de las Naciones,El Carmen,1/10/2022,14:17,Alimentos y bebidas,"97,9",4,PIX
76,Parque de las Naciones,El Carmen,1/11/2022,9:05,Belleza y cuidado personal,"231,9",4,PayPal
77,Parque de las Naciones,El Carmen,1/11/2022,11:05,Belleza y cuidado personal,"197,9",4,Tarjeta
78,Estrella,San Antonio,1/11/2022,10:01,Casa y limpieza,"160,9",5,PIX
74,Aurora,Santa Rosa,1/11/2022,10:55,Papelería y oficina,"38,9",1,PIX
79,Estrella,San Antonio,1/11/2022,19:46,Casa y limpieza,"52,9",4,PIX
73,Parque de las Naciones,El Carmen,1/11/2022,17:39,Papelería y oficina,"33,9",3,PIX
72,Aurora,Santa Rosa,1/11/2022,9:53,Belleza y cuidado personal,"179,9",5,Tarjeta
75,Parque de las Naciones,El Carmen,1/11/2022,18:13,Casa y limpieza,"148,9",1,Tarjeta
71,Aurora,Santa Rosa,1/11/2022,18:23,Belleza y cuidado personal,"114,9",2,PIX
88,Aurora,Santa Rosa,1/12/2022,12:37,Belleza y cuidado personal,"97,9",1,Tarjeta
82,Parque de las Naciones,El Carmen,1/12/2022,10:30,Herramientas y construcción,"102,9",5,PIX
83,Parque de las Naciones,El Carmen,1/12/2022,18:31,Papelería y oficina,"30,9",2,PIX
89,Estrella,San Antonio,1/12/2022,13:05,Casa y limpieza,"17,9",3,PayPal
